ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,522,12,"M:System.Drawing.Font.#ctor(System.String,System.Single)",,,,,"this.chkMigrateDesktop.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,522,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateDesktop.Font = new Font(""Segoe UI"", 9F);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,522,12,T:System.Drawing.Font,,,,,"this.chkMigrateDesktop.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,522,12,P:System.Windows.Forms.Control.Font,,,,,"this.chkMigrateDesktop.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,521,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateDesktop.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,521,12,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,this.chkMigrateDesktop.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,520,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateDesktop.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,520,12,P:System.Windows.Forms.CheckBox.Checked,,,,,this.chkMigrateDesktop.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,519,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateDesktop.Text = ""Bureau"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,519,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.chkMigrateDesktop.Text = ""Bureau"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,518,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateDesktop.Location = new Point(startX, 53);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,518,12,P:System.Windows.Forms.Control.Location,,,,,"this.chkMigrateDesktop.Location = new Point(startX, 53);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,516,12,T:System.Drawing.Font,,,,,"this.chkMigrateDocuments.Font = new Font(""Segoe UI"", 9F);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,516,12,"M:System.Drawing.Font.#ctor(System.String,System.Single)",,,,,"this.chkMigrateDocuments.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,516,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateDocuments.Font = new Font(""Segoe UI"", 9F);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,516,12,T:System.Drawing.Font,,,,,"this.chkMigrateDocuments.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,516,12,P:System.Windows.Forms.Control.Font,,,,,"this.chkMigrateDocuments.Font = new Font(""Segoe UI"", 9F);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,515,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateDocuments.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,515,12,P:System.Windows.Forms.ButtonBase.AutoSize,,,,,this.chkMigrateDocuments.AutoSize = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,514,12,T:System.Windows.Forms.CheckBox,,,,,this.chkMigrateDocuments.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,514,12,P:System.Windows.Forms.CheckBox.Checked,,,,,this.chkMigrateDocuments.Checked = true;
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,513,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateDocuments.Text = ""Documents"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,513,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.chkMigrateDocuments.Text = ""Documents"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,512,12,T:System.Windows.Forms.CheckBox,,,,,"this.chkMigrateDocuments.Location = new Point(startX, 25);"
